title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
Mở bán chung cư kim mã ở ngay 840tr/căn 40-52m thoáng mát,"Quận Ba Đình, Hà Nội",42,840,1,1,,,,,,3505096
Trực tiếp cdt mở bán cc tôn đức thắng- quốc tử giám 820tr- 33.5m,"Quận Đống Đa, Hà Nội",33.5,820,1,1,,,,,,3717701
Chung cư mini doãn kế thiện- phạm văn đồng giá chỉ từ 590 tr,"Doãn Kế Thiện, Quận Cầu Giấy, Hà Nội",46,980,,,,,,,,3103523
"Bán chung cư kim mã núi trúc 890-1,36 tỷ/căn ở ngay thoáng","Quận Ba Đình, Hà Nội",52,1360.0,2,1,,,,,,3505126
Chính chủ bán cc trần khát chân- phố huế 800-1ty/căn 1-2pn ở ngay,"Quận Hai Bà Trưng, Hà Nội",32,850,1,1,,,,,,3810219
Chính chủ bán chung cư mini trần quý cáp pull đồ chỉ 520tr,"Phường Văn Chương, Quận Đống Đa, Hà Nội",48,560,2,1,5,Đông nam,,,,3957660
Bán chung cư tam khương - tôn thất tùng - view hồ - ở ngay.,"Quận Đống Đa, Hà Nội",35,560,,,,Đông nam,3,,,3852510
Bán căn hộ chung cư đống đa - ô tô đỗ cửa - mới,"Quận Đống Đa, Hà Nội",30,600,1,1,,,,,,3858482
Bán căn hộ chung cư xã đàn - khâm thiên - tôn đức thắng.,"Quận Đống Đa, Hà Nội",50,860,2,1,,,,,,3858674
"Ban chung cư mini trích sài, view hồ tây, đẹp lung linh,diện tích từ 33,37, 55m2","Quận Tây Hồ, Hà Nội",33,680,1,1,,,,,,3924427
Bán chung cư mini trích sài - sổ hồng vĩnh viễn - viesw hồ tây.,"Quận Ba Đình, Hà Nội",55,1000.0,2,1,,,,,,3920925
"Bán chung cư t23 quan nhân - vũ trọng phụng - thiết kê hiện đại, thông thoáng.","Quận Thanh Xuân, Hà Nội",33,600,1,1,5,,3,,,3931148
Bán chung cư cầu diễn - văn tiến dũng - đh công nghiệp hà nội,"Quận Bắc Từ Liêm, Hà Nội",28,500,1,1,,,,,,3855259
"Bán căn hộ chung cư - ở, đầu tư cho thuê, thanh khoản tốt.","Quận Đống Đa, Hà Nội",30,680,1,1,,,5,,,3855734
Bán chung cư hoàng hoa thám - ngõ ô tô - sỗ hồng vĩnh viễn.,"Quận Bắc Từ Liêm, Hà Nội",35,680,1,1,,,,,,3923982
"Bán chung cư xã đàn - phạm ngọc thạch, full đồ, ở ngay.","Phường Phương Liên, Quận Đống Đa, Hà Nội",33,590,1,1,,,,,,3946047
