,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
97,Mình cần bán căn hộ 3 ngủ-109m2 tại chung cư hòa phát 257 giải phóng-hn,"Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội",109,4.1,3,2,1,,,,,3947369
98,Bán nhanh căn hộ 166m3-3 ngủ tại kđt văn khê- hà đông-hn,"KĐT Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",166,3.3,3,3,1,,,,1,3945878
99,Mình bán căn hộ 4 ngủ chung cư usilk city-hà đông-hn,"Chung cư Usilk City, Phường La Khê, Quận Hà Đông, Hà Nội",165,4,4,2,1,,,,,3947194
100,Bán căn hộ 92m2 tại chung cư cao cấp artemis-lê trọng tấn-thanh xuân-hn,"Căn hộ Artemis Số 3 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",92,4.2,2,2,1,,,,,3947384
101,Bán gấp căn hộ 3 ngủ tại chung cư ct8-the emerald mỹ đình-hà nội,"The Emerald Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",103,4.3,3,2,1,,,,,3947392
102,"Bán gấp căn hộ chung cư cao cấp giá nhỉnh 1 tỷ the zenpark (ruby), r1.05vinhomes","Vinhomes Ocean Park, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",50,1.5,1,1,,,,,,3950047
103,Cần bán chung cư tecco diamond giá ưu đãi,"Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",64,1.8,2,2,25,,,,,3950043
104,"Tôi cần bán 2 căn hộ chung cư center point, lê văn lương tầng 21 dt 81 m2","Hà Nội Center Point, Quận Thanh Xuân, Hà Nội",80,3.2,3,2,21,,,,,3834937
105,Bán chung cư ct4 vimeco mặt phố tú mỡ nguyễn chánh vị trí cực đẹp,"Chung cư CT4 Vimeco Hanel, Quận Cầu Giấy, Hà Nội",148,5.6,3,3,39,,,,,3830215
106,Bán căn pent house tòa ct4 vimeco nguyễn chánh cầu giấy lh0988569695,"KĐT Trung Hòa Nhân Chính, Quận Cầu Giấy, Hà Nội",284,9.94,,,,Đông bắc,,,,3919356
107,Bán căn chung cư mandarin hòa phát trung hòa nhân chính 130 m2 lh0988569695,"Hoàng Minh Giám, Quận Cầu Giấy, Hà Nội",130,6.5,3,2,,Tây bắc,,,,3920448
108,Bán căn hộ duplex cao cấp 97-99 láng hạ đống đa view hồ lh 0988569695,"Láng Hạ, Quận Đống Đa, Hà Nội",349,10,4,4,,Đông,,,,3924210
